providerName,resourceType,supportsTags,costReport
Microsoft.AAD,DomainServices,TRUE,TRUE
Microsoft.AAD,DomainServices/oucontainer,FALSE,FALSE
Microsoft.Addons,supportProviders,FALSE,FALSE
Microsoft.ADHybridHealthService,aadsupportcases,FALSE,FALSE
Microsoft.ADHybridHealthService,addsservices,FALSE,FALSE
Microsoft.ADHybridHealthService,agents,FALSE,FALSE
Microsoft.ADHybridHealthService,anonymousapiusers,FALSE,FALSE
Microsoft.ADHybridHealthService,configuration,FALSE,FALSE
Microsoft.ADHybridHealthService,logs,FALSE,FALSE
Microsoft.ADHybridHealthService,reports,FALSE,FALSE
Microsoft.ADHybridHealthService,servicehealthmetrics,FALSE,FALSE
Microsoft.ADHybridHealthService,services,FALSE,FALSE
Microsoft.Advisor,advisorScore,FALSE,FALSE
Microsoft.Advisor,configurations,FALSE,FALSE
Microsoft.Advisor,generateRecommendations,FALSE,FALSE
Microsoft.Advisor,metadata,FALSE,FALSE
Microsoft.Advisor,recommendations,FALSE,FALSE
Microsoft.Advisor,suppressions,FALSE,FALSE
Microsoft.AgFoodPlatform,farmBeats,TRUE,TRUE
Microsoft.AlertsManagement,actionRules,TRUE,TRUE
Microsoft.AlertsManagement,alerts,FALSE,FALSE
Microsoft.AlertsManagement,alertsList,FALSE,FALSE
Microsoft.AlertsManagement,alertsMetaData,FALSE,FALSE
Microsoft.AlertsManagement,alertsSummary,FALSE,FALSE
Microsoft.AlertsManagement,alertsSummaryList,FALSE,FALSE
Microsoft.AlertsManagement,smartDetectorAlertRules,TRUE,TRUE
Microsoft.AlertsManagement,smartGroups,FALSE,FALSE
Microsoft.AnalysisServices,servers,TRUE,TRUE
Microsoft.ApiManagement,reportFeedback,FALSE,FALSE
Microsoft.ApiManagement,service,TRUE,TRUE
Microsoft.ApiManagement,validateServiceName,FALSE,FALSE
Microsoft.AppConfiguration,configurationStores,TRUE,TRUE
Microsoft.AppConfiguration,configurationStores/eventGridFilters,FALSE,FALSE
Microsoft.AppConfiguration,configurationStores/keyValues,FALSE,FALSE
Microsoft.AppPlatform,Spring,TRUE,TRUE
Microsoft.AppPlatform,Spring/apps,FALSE,FALSE
Microsoft.AppPlatform,Spring/apps/deployments,FALSE,FALSE
Microsoft.Attestation,attestationProviders,TRUE,TRUE
Microsoft.Attestation,defaultProviders,FALSE,FALSE
Microsoft.Authorization,accessReviewScheduleDefinitions,FALSE,FALSE
Microsoft.Authorization,accessReviewScheduleSettings,FALSE,FALSE
Microsoft.Authorization,classicAdministrators,FALSE,FALSE
Microsoft.Authorization,dataAliases,FALSE,FALSE
Microsoft.Authorization,denyAssignments,FALSE,FALSE
Microsoft.Authorization,elevateAccess,FALSE,FALSE
Microsoft.Authorization,findOrphanRoleAssignments,FALSE,FALSE
Microsoft.Authorization,locks,FALSE,FALSE
Microsoft.Authorization,permissions,FALSE,FALSE
Microsoft.Authorization,policyAssignments,FALSE,FALSE
Microsoft.Authorization,policyDefinitions,FALSE,FALSE
Microsoft.Authorization,policyExemptions,FALSE,FALSE
Microsoft.Authorization,policySetDefinitions,FALSE,FALSE
Microsoft.Authorization,privateLinkAssociations,FALSE,FALSE
Microsoft.Authorization,providerOperations,FALSE,FALSE
Microsoft.Authorization,resourceManagementPrivateLinks,TRUE,TRUE
Microsoft.Authorization,roleAssignments,FALSE,FALSE
Microsoft.Authorization,roleAssignmentsUsageMetrics,FALSE,FALSE
Microsoft.Authorization,roleDefinitions,FALSE,FALSE
Microsoft.Automanage,accounts,TRUE,TRUE
Microsoft.Automanage,configurationProfileAssignments,FALSE,FALSE
Microsoft.Automanage,configurationProfilePreferences,TRUE,TRUE
Microsoft.Automation,automationAccounts,TRUE,TRUE
Microsoft.Automation,automationAccounts/configurations,TRUE,TRUE
Microsoft.Automation,automationAccounts/jobs,FALSE,FALSE
