policy_name,policy_file,policy_version,datasource_name,api_service,method,endpoint,operation,field,permission
AKS Node Pools Without Autoscaling,operational/azure/aks_nodepools_without_autoscaling/aks_nodepools_without_autoscaling.pt,3.2.0,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AKS Node Pools Without Autoscaling,operational/azure/aks_nodepools_without_autoscaling/aks_nodepools_without_autoscaling.pt,3.2.0,ds_azure_subscriptions,Azure,GET,https://management.azure.com/subscriptions/?api-version=2020-01-01,List Subscriptions,subscriptionId,Microsoft.Resources/subscriptions/read
AKS Node Pools Without Autoscaling,operational/azure/aks_nodepools_without_autoscaling/aks_nodepools_without_autoscaling.pt,3.2.0,ds_aks_clusters,Azure,GET,https://management.azure.com/subscriptions/{id}/providers/Microsoft.ContainerService/managedClusters?api-version=2021-09-01,List Managed Clusters,id,Microsoft.ContainerService/managedClusters/read
AKS Node Pools Without Autoscaling,operational/azure/aks_nodepools_without_autoscaling/aks_nodepools_without_autoscaling.pt,3.2.0,ds_aks_clusters_with_pools,Azure,GET,https://management.azure.com/subscriptions/id/providers/Microsoft.ContainerService/managedClusters/{id}/agentPools?api-version=2021-09-01,List Managed Clusters,value,Microsoft.ContainerService/managedClusters/agentPools/read
AKS Node Pools Without Autoscaling,operational/azure/aks_nodepools_without_autoscaling/aks_nodepools_without_autoscaling.pt,3.2.0,ds_get_parent_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies/,List Applied Policies,id,
AKS Node Pools Without Autoscaling,operational/azure/aks_nodepools_without_autoscaling/aks_nodepools_without_autoscaling.pt,3.2.0,ds_terminate_self,Flexera,DELETE,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies{id}/,Delete Projects,{entire response},
AKS Node Pools Without Zero Autoscaling,operational/azure/aks_nodepools_without_zero_autoscaling/aks_nodepools_without_zero_autoscaling.pt,3.3.0,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AKS Node Pools Without Zero Autoscaling,operational/azure/aks_nodepools_without_zero_autoscaling/aks_nodepools_without_zero_autoscaling.pt,3.3.0,ds_azure_subscriptions,Azure,GET,https://management.azure.com/subscriptions/?api-version=2020-01-01,List Subscriptions,subscriptionId,Microsoft.Resources/subscriptions/read
AKS Node Pools Without Zero Autoscaling,operational/azure/aks_nodepools_without_zero_autoscaling/aks_nodepools_without_zero_autoscaling.pt,3.3.0,ds_aks_clusters,Azure,GET,https://management.azure.com/subscriptions/{id}/providers/Microsoft.ContainerService/managedClusters?api-version=2021-09-01,List Managed Clusters,id,Microsoft.ContainerService/managedClusters/read
AKS Node Pools Without Zero Autoscaling,operational/azure/aks_nodepools_without_zero_autoscaling/aks_nodepools_without_zero_autoscaling.pt,3.3.0,ds_aks_clusters_with_pools,Azure,GET,https://management.azure.com/subscriptions/id/providers/Microsoft.ContainerService/managedClusters/{id}/agentPools?api-version=2021-09-01,List Managed Clusters,value,Microsoft.ContainerService/managedClusters/agentPools/read
AKS Node Pools Without Zero Autoscaling,operational/azure/aks_nodepools_without_zero_autoscaling/aks_nodepools_without_zero_autoscaling.pt,3.3.0,ds_get_parent_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies/,List Applied Policies,id,
AKS Node Pools Without Zero Autoscaling,operational/azure/aks_nodepools_without_zero_autoscaling/aks_nodepools_without_zero_autoscaling.pt,3.3.0,ds_terminate_self,Flexera,DELETE,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies{id}/,Delete Projects,{entire response},
