Name,Version,Provider,Permission/Role,Required,Read Only
AKS Node Pools Without Autoscaling,3.0.6,Azure Resource Manager,Microsoft.ContainerService/managedClusters/read,true,true
AKS Node Pools Without Autoscaling,3.0.6,Azure Resource Manager,Microsoft.ContainerService/managedClusters/agentPools/read,true,true
AKS Node Pools Without Autoscaling,3.0.6,Flexera,billing_center_viewer,true,true
AKS Node Pools Without Zero Autoscaling,3.1.6,Azure Resource Manager,Microsoft.ContainerService/managedClusters/read,true,true
AKS Node Pools Without Zero Autoscaling,3.1.6,Azure Resource Manager,Microsoft.ContainerService/managedClusters/agentPools/read,true,true
AKS Node Pools Without Zero Autoscaling,3.1.6,Flexera,billing_center_viewer,true,true
AWS Account Credentials,0.1.8,AWS,sts:GetCallerIdentity,true,true
AWS Account Credentials,0.1.8,Flexera,billing_center_viewer,true,true
AWS Accounts Missing Service Control Policies,3.0.5,AWS,organizations:ListPolicies,true,true
AWS Accounts Missing Service Control Policies,3.0.5,AWS,organizations:ListAccounts,true,true
AWS Accounts Missing Service Control Policies,3.0.5,AWS,organizations:ListPoliciesForTarget,true,true
AWS Accounts Missing Service Control Policies,3.0.5,Flexera,billing_center_viewer,true,true
AWS Burstable EC2 Instances,4.4.4,AWS,sts:GetCallerIdentity,true,true
AWS Burstable EC2 Instances,4.4.4,AWS,cloudwatch:GetMetricData,true,true
AWS Burstable EC2 Instances,4.4.4,AWS,cloudwatch:ListMetrics,true,true
AWS Burstable EC2 Instances,4.4.4,AWS,ec2:DescribeRegions,true,true
AWS Burstable EC2 Instances,4.4.4,AWS,ec2:DescribeInstances,true,true
AWS Burstable EC2 Instances,4.4.4,AWS,ec2:DescribeTags,true,true
AWS Burstable EC2 Instances,4.4.4,AWS,ec2:DescribeInstanceStatus,false,false
AWS Burstable EC2 Instances,4.4.4,AWS,ec2:ModifyInstanceAttribute,false,false
AWS Burstable EC2 Instances,4.4.4,AWS,ec2:StartInstances,false,false
AWS Burstable EC2 Instances,4.4.4,AWS,ec2:StopInstances,false,false
AWS Burstable EC2 Instances,4.4.4,Flexera,billing_center_viewer,true,true
AWS Cheaper Regions,1.0.4,Flexera,billing_center_viewer,true,true
AWS CloudTrail Not Enabled In All Regions,3.0.5,AWS,sts:GetCallerIdentity,true,true
AWS CloudTrail Not Enabled In All Regions,3.0.5,AWS,cloudtrail:DescribeTrails,true,true
AWS CloudTrail Not Enabled In All Regions,3.0.5,AWS,cloudtrail:GetTrailStatus,true,true
AWS CloudTrail Not Enabled In All Regions,3.0.5,AWS,cloudtrail:GetEventSelectors,true,true
AWS CloudTrail Not Enabled In All Regions,3.0.5,Flexera,billing_center_viewer,true,true
AWS CloudTrail S3 Buckets Without Access Logging,3.0.5,AWS,sts:GetCallerIdentity,true,true
AWS CloudTrail S3 Buckets Without Access Logging,3.0.5,AWS,cloudtrail:DescribeTrails,true,true
AWS CloudTrail S3 Buckets Without Access Logging,3.0.5,AWS,s3:GetBucketLocation,true,true
AWS CloudTrail S3 Buckets Without Access Logging,3.0.5,AWS,s3:GetBucketLogging,true,true
AWS CloudTrail S3 Buckets Without Access Logging,3.0.5,Flexera,billing_center_viewer,true,true
AWS CloudTrails Not Integrated With CloudWatch,3.0.5,AWS,sts:GetCallerIdentity,true,true
AWS CloudTrails Not Integrated With CloudWatch,3.0.5,AWS,cloudtrail:DescribeTrails,true,true
AWS CloudTrails Not Integrated With CloudWatch,3.0.5,AWS,cloudtrail:GetTrailStatus,true,true
AWS CloudTrails Not Integrated With CloudWatch,3.0.5,Flexera,billing_center_viewer,true,true
AWS CloudTrails With Read Logging Enabled,0.1.6,AWS,sts:GetCallerIdentity,true,true
AWS CloudTrails With Read Logging Enabled,0.1.6,AWS,cloudtrail:DescribeTrails,true,true
AWS CloudTrails With Read Logging Enabled,0.1.6,AWS,cloudtrail:GetEventSelectors,true,true
AWS CloudTrails With Read Logging Enabled,0.1.6,AWS,cloudtrail:PutEventSelectors,false,false
AWS CloudTrails With Read Logging Enabled,0.1.6,Flexera,billing_center_viewer,true,true
AWS CloudTrails Without Encrypted Logs,3.0.5,AWS,sts:GetCallerIdentity,true,true
AWS CloudTrails Without Encrypted Logs,3.0.5,AWS,cloudtrail:DescribeTrails,true,true
AWS CloudTrails Without Encrypted Logs,3.0.5,Flexera,billing_center_viewer,true,true
AWS CloudTrails Without Log File Validation Enabled,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS CloudTrails Without Log File Validation Enabled,3.0.6,AWS,cloudtrail:DescribeTrails,true,true
AWS CloudTrails Without Log File Validation Enabled,3.0.6,Flexera,billing_center_viewer,true,true
AWS CloudTrails Without Object-level Events Logging Enabled,3.0.5,AWS,sts:GetCallerIdentity,true,true
AWS CloudTrails Without Object-level Events Logging Enabled,3.0.5,AWS,cloudtrail:DescribeTrails,true,true
AWS CloudTrails Without Object-level Events Logging Enabled,3.0.5,AWS,cloudtrail:GetEventSelectors,true,true
AWS CloudTrails Without Object-level Events Logging Enabled,3.0.5,Flexera,billing_center_viewer,true,true
AWS Cost Report - EC2 Instance Cost Per Hour,0.2.3,Flexera,billing_center_viewer,true,true
AWS Customer Managed Keys (CMKs) Without Rotation Enabled,3.0.5,AWS,sts:GetCallerIdentity,true,true
AWS Customer Managed Keys (CMKs) Without Rotation Enabled,3.0.5,AWS,ec2:DescribeRegions,true,true
AWS Customer Managed Keys (CMKs) Without Rotation Enabled,3.0.5,AWS,kms:ListKeys,true,true
AWS Customer Managed Keys (CMKs) Without Rotation Enabled,3.0.5,AWS,kms:GetKeyRotationStatus,true,true
AWS Customer Managed Keys (CMKs) Without Rotation Enabled,3.0.5,Flexera,billing_center_viewer,true,true
AWS Disallowed Regions,5.0.6,AWS,sts:GetCallerIdentity,true,true
AWS Disallowed Regions,5.0.6,AWS,ec2:DescribeRegions,true,true
AWS Disallowed Regions,5.0.6,AWS,ec2:DescribeInstances,true,true
AWS Disallowed Regions,5.0.6,AWS,ec2:StopInstances,false,false
AWS Disallowed Regions,5.0.6,AWS,ec2:TerminateInstances,false,false
AWS Disallowed Regions,5.0.6,Flexera,billing_center_viewer,true,true
AWS EC2 Compute Optimizer Recommendations,0.3.6,AWS,sts:GetCallerIdentity,true,true
AWS EC2 Compute Optimizer Recommendations,0.3.6,AWS,compute-optimizer:GetEC2InstanceRecommendations,true,true
AWS EC2 Compute Optimizer Recommendations,0.3.6,AWS,ec2:DescribeRegions,true,true
AWS EC2 Compute Optimizer Recommendations,0.3.6,AWS,ec2:DescribeInstances,true,true
AWS EC2 Compute Optimizer Recommendations,0.3.6,AWS,ec2:ModifyInstanceAttribute,false,false
AWS EC2 Compute Optimizer Recommendations,0.3.6,AWS,ec2:StartInstances,false,false
AWS EC2 Compute Optimizer Recommendations,0.3.6,AWS,ec2:StopInstances,false,false
AWS EC2 Compute Optimizer Recommendations,0.3.6,Flexera,billing_center_viewer,true,true
AWS EC2 Instances Time Stopped Report,0.2.6,AWS,ec2:DescribeRegions,true,true
AWS EC2 Instances Time Stopped Report,0.2.6,AWS,ec2:DescribeInstances,true,true
AWS EC2 Instances Time Stopped Report,0.2.6,AWS,ec2:DescribeInstanceStatus,false,false
AWS EC2 Instances Time Stopped Report,0.2.6,AWS,ec2:StopInstances,false,false
AWS EC2 Instances Time Stopped Report,0.2.6,AWS,ec2:TerminateInstances,false,false
AWS EC2 Instances Time Stopped Report,0.2.6,AWS,sts:GetCallerIdentity,true,true
AWS EC2 Instances Time Stopped Report,0.2.6,Flexera,billing_center_viewer,true,true
AWS EC2 Instances not running FlexNet Inventory Agent,4.3.6,AWS,ec2:DescribeRegions,true,true
AWS EC2 Instances not running FlexNet Inventory Agent,4.3.6,AWS,ec2:DescribeInstances,true,true
AWS EKS Clusters Without Spot Instances,0.1.6,AWS,sts:GetCallerIdentity,true,true
AWS EKS Clusters Without Spot Instances,0.1.6,AWS,ec2:DescribeRegions,true,true
AWS EKS Clusters Without Spot Instances,0.1.6,AWS,eks:ListClusters,true,true
AWS EKS Clusters Without Spot Instances,0.1.6,AWS,eks:ListNodegroups,true,true
AWS EKS Clusters Without Spot Instances,0.1.6,AWS,eks:DescribeCluster,true,true
AWS EKS Clusters Without Spot Instances,0.1.6,AWS,eks:DescribeNodegroup,true,true
AWS EKS Clusters Without Spot Instances,0.1.6,Flexera,billing_center_viewer,true,true
AWS Elastic Load Balancers With Unencrypted Listeners,4.0.6,AWS,sts:GetCallerIdentity,true,true
AWS Elastic Load Balancers With Unencrypted Listeners,4.0.6,AWS,ec2:DescribeRegions,true,true
AWS Elastic Load Balancers With Unencrypted Listeners,4.0.6,AWS,elasticloadbalancing:DescribeLoadBalancers,true,true
AWS Elastic Load Balancers With Unencrypted Listeners,4.0.6,AWS,elasticloadbalancing:DescribeTags,true,true
AWS Elastic Load Balancers With Unencrypted Listeners,4.0.6,AWS,elasticloadbalancing:DescribeListeners,true,true
AWS Elastic Load Balancers With Unencrypted Listeners,4.0.6,Flexera,billing_center_viewer,true,true
AWS Expiring Reserved Instances,3.0.4,Flexera,billing_center_viewer,true,true
AWS Expiring Savings Plans,3.0.4,AWS,savingsplans:DescribeSavingsPlans,true,true
AWS Expiring Savings Plans,3.0.4,Flexera,billing_center_viewer,true,true
AWS GP3 Upgradeable Volumes,4.4.8,AWS,ec2:DescribeVolumes,true,true
AWS GP3 Upgradeable Volumes,4.4.8,AWS,ec2:DescribeRegions,true,true
AWS GP3 Upgradeable Volumes,4.4.8,AWS,pricing:GetProducts,true,true
AWS GP3 Upgradeable Volumes,4.4.8,Flexera,billing_center_viewer,true,true
AWS IAM Account Missing Support Role,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Account Missing Support Role,3.0.6,AWS,iam:ListPolicies,true,true
AWS IAM Account Missing Support Role,3.0.6,AWS,iam:ListEntitiesForPolicy,true,true
AWS IAM Account Missing Support Role,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM Attached Admin Policies,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Attached Admin Policies,3.0.6,AWS,iam:ListPolicies,true,true
AWS IAM Attached Admin Policies,3.0.6,AWS,iam:GetPolicyVersion,true,true
AWS IAM Attached Admin Policies,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM Expired SSL/TLS Certificates,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Expired SSL/TLS Certificates,3.0.6,AWS,iam:ListServerCertificates,true,true
AWS IAM Expired SSL/TLS Certificates,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM Insufficient Required Password Length,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Insufficient Required Password Length,3.0.6,AWS,iam:GetAccountPasswordPolicy,true,true
AWS IAM Insufficient Required Password Length,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM Password Policy Not Restricting Password Reuse,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Password Policy Not Restricting Password Reuse,3.0.6,AWS,iam:GetAccountPasswordPolicy,true,true
AWS IAM Password Policy Not Restricting Password Reuse,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM Role Audit,3.0.8,AWS,sts:GetCallerIdentity,true,true
AWS IAM Role Audit,3.0.8,AWS,iam:ListRoles,true,true
AWS IAM Role Audit,3.0.8,AWS,iam:ListRoleTags,true,true
AWS IAM Role Audit,3.0.8,Flexera,billing_center_viewer,true,true
AWS IAM Root Account Access Keys,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Root Account Access Keys,3.0.6,AWS,iam:GetAccountSummary,true,true
AWS IAM Root Account Access Keys,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM Root User Account Without Hardware MFA,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Root User Account Without Hardware MFA,3.0.6,AWS,iam:GetAccountSummary,true,true
AWS IAM Root User Account Without Hardware MFA,3.0.6,AWS,iam:ListVirtualMFADevices,true,true
AWS IAM Root User Account Without Hardware MFA,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM Root User Account Without MFA,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Root User Account Without MFA,3.0.6,AWS,iam:GetAccountSummary,true,true
AWS IAM Root User Account Without MFA,3.0.6,AWS,iam:ListVirtualMFADevices,true,true
AWS IAM Root User Account Without MFA,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM Root User Doing Everyday Tasks,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Root User Doing Everyday Tasks,3.0.6,AWS,iam:GenerateCredentialReport,true,true
AWS IAM Root User Doing Everyday Tasks,3.0.6,AWS,iam:GetCredentialReport,true,true
AWS IAM Root User Doing Everyday Tasks,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM User Accounts Without MFA,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM User Accounts Without MFA,3.0.6,AWS,iam:GenerateCredentialReport,true,true
AWS IAM User Accounts Without MFA,3.0.6,AWS,iam:GetCredentialReport,true,true
AWS IAM User Accounts Without MFA,3.0.6,Flexera,billing_center_viewer,true,true
AWS IAM Users With Directly-Attached Policies,3.0.6,AWS,sts:GetCallerIdentity,true,true
AWS IAM Users With Directly-Attached Policies,3.0.6,AWS,iam:ListUsers,true,true
AWS IAM Users With Directly-Attached Policies,3.0.6,AWS,iam:ListUserPolicies,true,true
AWS IAM Users With Directly-Attached Policies,3.0.6,AWS,iam:ListAttachedUserPolicies,true,true
AWS IAM Users With Directly-Attached Policies,3.0.6,Flexera,billing_center_viewer,true,true
