vendor_account,rbd_business_area,rbd_customer,rbd_customer_type
123456789012,Flexera,Acme Industries,Customer
234567890123,Flexera,Global Solutions Corp,Customer
345678901234,Revenera,TechPro Systems,PoC
456789012345,Flexera,Innovative Logic Ltd,Customer
567890123456,Revenera,DataFlow Solutions,Demo
678901234567,Flexera,Summit Technologies,Customer
789012345678,Revenera,Quantum Dynamics,PoC
890123456789,Flexera,Enterprise Logic Inc,Customer
901234567890,Flexera,ByteWise Solutions,Demo
ab12cd34-5678-9012-3456-789012345678,Revenera,CloudPeak Services,Customer
bc23de45-6789-0123-4567-890123456789,Flexera,Matrix Systems,PoC
cd34ef56-7890-1234-5678-901234567890,Revenera,Digital Frontier,Customer
de45fg67-8901-2345-6789-012345678901,Flexera,Nexus Computing,Demo
ef56gh78-9012-3456-7890-123456789012,Revenera,Vertex Analytics,Customer
fg67hi89-0123-4567-8901-234567890123,Flexera,Catalyst Software,PoC
gh78ij90-1234-5678-9012-345678901234,Revenera,Pinnacle Tech,Customer
hi89jk01-2345-6789-0123-456789012345,Flexera,Horizon Data,Demo
